PO Number,Load ID,Load Dest,Load Dest Type,Load Dest Address,Load P/U Window Start,Load P/U Window End,MABD,Carrier PU Date,Carrier Due Date,Carrier Name,Industry SCAC,Mode,Ship Point,Loading Method,Cases,Weight,Cube,Pallets,Event Code,PO Type,Department,Confirmed Date,Held/Suspended,PO Dest
8271638606,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,40,216,40,1,POS REPLEN,33,8,11/10/2021,NO,6018
8425271773,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,163,20,1,POS REPLEN,33,8,11/10/2021,NO,6092
8674245670,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/20/2021,11/20/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,163,20,1,POS REPLEN,33,8,11/10/2021,NO,7033
9425261816,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,81,163,60,1,POS REPLEN,33,8,11/10/2021,NO,6043
9625800228,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,135,163,100,1,POS REPLEN,33,8,11/10/2021,NO,7045
9775421445,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,6039
2574952507,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,PALLET,135,611,111,1,POS REPLEN,33,8,11/10/2021,NO,6000
2874862735,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,163,20,1,POS REPLEN,33,8,11/10/2021,NO,6001
3575162101,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,97,163,80,1,POS REPLEN,33,8,11/10/2021,NO,6002
3625790250,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,91,258,80,1,POS REPLEN,33,8,11/10/2021,NO,70000
3725162176,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/26/2021,11/26/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,40,163,40,1,POS REPLEN,33,8,11/10/2021,NO,7777
3725780296,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,60697
3773906018,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,81,216,60,1,POS REPLEN,33,8,11/10/2021,NO,67767
3824015308,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,258,20,1,POS REPLEN,33,8,11/10/2021,NO,67768
4229323934,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/26/2021,11/26/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,40,216,40,1,POS REPLEN,33,8,11/10/2021,NO,60268
4229961997,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/21/2021,11/21/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,60208
4624035813,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,75,362,60,1,POS REPLEN,33,8,11/10/2021,NO,60178
5025810193,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/17/2021,11/17/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,50,258,40,1,POS REPLEN,33,8,11/10/2021,NO,60408
